,Unnamed: 0,No.,Comment,Label
5713,5713,5714,coc then thresh,0
3089,3089,3090,bot,0
3876,3876,3877,mấy giừo bắn đấy mọi người,0
5906,5906,5907,ngu cút,1
4137,4137,4138,dơi,0
2632,2632,2633,trâu,0
7614,7614,7615,gáy ác,0
1798,1798,1799,fl thể top11,0
4396,4396,4397,stun farm ngài,0
1037,1037,1038,fan infinity 2h: >,0
16,16,17,hề 2 last hốp suy vãi lồn,1
6413,6413,6414,hansa play bồ lê_vi😁,0
2535,2535,2536,thailand no 1 🇹🇭,0
737,737,738,chia slot,0
551,551,552,12 đội_tuyển khắp khu_vực tranh tài giải đấu.,0
7934,7934,7935,ồn vãi lồn,1
593,593,594,nip,0
2269,2269,2270,ngon,0
2514,2514,2515,team bình cố kéo late,0
4109,4109,4110,1 vị thần,0
4245,4245,4246,rank mong tank buff =))),0
903,903,904,đẹp_trai đấy,0
6224,6224,6225,10 game ys 9 game thua,0
4770,4770,4771,xong game,0
3202,3202,3203,kịp bặt nhắm,0
805,805,806,op khoẻ,0
3150,3150,3151,cbi feed nao` awesome,0
5632,5632,5633,ping,0
1116,1116,1117,dcm =)) 0 lạy lynx,2
1813,1813,1814,flash wolves =)),0
5460,5460,5461,2 4 mạng,0
2521,2521,2522,team yếu kì v,0
2927,2927,2928,anh em dieback awesome,0
6219,6219,6220,1 giết 4,0
6273,6273,6274,nhường mạng tao,0
3156,3156,3157,chả người yêu cũ g2,0
3595,3595,3596,hà_nội 12 ngày_đêm,0
7697,7697,7698,2 thằng red,0
5709,5709,5710,,0
6302,6302,6303,yếu mẹ yếu,1
7020,7020,7021,bất_lực: v,0
5355,5355,5356,choanfg,0
7723,7723,7724,nhà_cái:)),0
1835,1835,1836,fr cháy,0
4059,4059,4060,ngài xài quickcast bấm 2,0
759,759,760,,0
4378,4378,4379,smoya thai chuyen gioi manly the,0
3265,3265,3266,win?,0
7287,7287,7288,anh em thi game gi cung,0
7550,7550,7551,bin lpl tế tiếp,0
4602,4602,4603,tự_ái bây,0
2741,2741,2742,wag đi bo yếu lối giao_tranh khô máu vọt,0
4876,4876,4877,game win đéo 3r,1
512,512,513,@ trần ngọc văn s tui mấy ung_thư coi 🙂,0
325,325,326,ngẩng đầu đẹp_trai:),0
6156,6156,6157,mày,0
4700,4700,4701,vãi lồn es đẩy,1
7761,7761,7762,levi gank team ác,0
3542,3542,3543,11k ngài,0
5358,5358,5359,đánh,0
1883,1883,1884,h gáy nx,0
4024,4024,4025,"ngài pike massage, butterfly crit2 stick ủi banh đi",0
7030,7030,7031,se,0
1260,1260,1261,admin check bụi...,0
3779,3779,3780,gậy silen 2 silen,0
7238,7238,7239,cày thuê mid lane,0
2601,2601,2602,toàn mấy tk anti giả_danh fan fl,0
3700,3700,3701,keny s mạng shox:)),0
5772,5772,5773,đấy,0
2787,2787,2788,-10 dương,0
4171,4171,4172,omni đấm đau,0
4676,4676,4677,vãi cả lồn rank 100 awesome,1
7566,7566,7567,gam thua,0
4327,4327,4328,shorty chết,0
4398,4398,4399,stupid2k awesome,0
182,182,183,đcm tâm bát cơm t:)),1
684,684,685,map tầm bắn vandal,0
6901,6901,6902,bơm ác,0
2585,2585,2586,tiền kìa,0
2898,2898,2899,458 15 phút: kèo win? kèo sỉ_nhục!,0
7500,7500,7501,coi_thường a3 bay facebook,0
4991,4991,4992,nhục_nhã vcs,1
4202,4202,4203,pick nô_lệ sướng,0
3087,3087,3088,boom lam gi the,0
6534,6534,6535,đánh,0
3475,3475,3476,es dắt chó đi dạo vãi lồn awesome,1
4744,4744,4745,win fangay tác_động awesome,0
1481,1481,1482,youtuber conent,0
7331,7331,7332,toàn bố fan việt,0
5153,5153,5154,cặc đầu,1
2072,2072,2073,lễ nguyễn_te quan thang 1-0 hả,0
3683,3683,3684,jbo call,0
3791,3791,3792,lết rune lỗ ta,0
7734,7734,7735,bình_luận hài vãi lồn,1
1726,1726,1727,đừng bodysamsung lạy mấy,0
6262,6262,6263,lành gòy,0
5613,5613,5614,đánh admin counter mấy admin,0
6146,6146,6147,azhi tol2 debut đầu trường quốc_tế nha,0
3327,3327,3328,cypher cam,0
2328,2328,2329,vãi,1
1346,1346,1347,hq hq giao_tranh công thẳng nòng súng địch xả đạn vậy=)),0
7860,7860,7861,veigo chí_mạng i zai,0
4531,4531,4532,tí liken,0
6822,6822,6823,vãi bìu liền,1
6673,6673,6674,dm cast vcs tận msi tien chả chửi trách đ.j nx,1
4948,4948,4949,hảo lạc quẻ vãi cặc,1
5975,5975,5976,mấy team sbtc esport nổi,0
4461,4461,4462,tenz,0
2183,2183,2184,mc nhạt vãi lồn,2
5597,5597,5598,sốc 2 3 tuỏng xong gòy,0
1648,1648,1649,da hơi đen,0
2190,2190,2191,mê gái,0
6553,6553,6554,sứ_giả,0
1635,1635,1636,bản_đồ bắn 1 2 thua,0
1529,1529,1530,ri chx tắt mic,0
6663,6663,6664,tao ap ngon,0
5659,5659,5660,team cọp may,0
1354,1354,1355,bắn off,0
750,750,751,@ ngọc hoàng trần ô riot ô,0
6687,6687,6688,cái lồn má,1
3582,3582,3583,glitch,0
7612,7612,7613,"blg giấu, elk, xun, yagao, on thay phiên diễn choke, lpl msi",0
1863,1863,1864,gấu_mèo gáy gáy,0
3270,3270,3271,coi trắng màn_hình toàn ván đi =)),0
3124,3124,3125,cầm feed chiến_thuật hả ngài awesome,0
1514,1514,1515,vgm vô_địch quốc_tế sgp mãi thần_đồng,0
7398,7398,7399,"đánh, đa_dạng tướng, view",0
1211,1211,1212,1 4 đấy đk,0
213,213,214,vãi lồn yoru,1
4829,4829,4830,địt con_mẹ mày nhẹ ưa,2
2059,2059,2060,,0
538,538,539,luật top 3 vct việt nam bắn,0
5624,5624,5625,đại_bác á_anh,0
6813,6813,6814,clg đấy,1
2913,2913,2914,múa,0
4318,4318,4319,đích rank 5 anh em,0
1713,1713,1714,đối_thủ,0
101,101,102,ác view ác,0
6434,6434,6435,chiến,0
7029,7029,7030,spam bản_quyền đéo,0
2133,2133,2134,mai leo live,0
4020,4020,4021,ngài keth,0
3056,3056,3057,đấnh tb,0
5893,5893,5894,sante,0
5829,5829,5830,đánh,0
3914,3914,3915,"moá xoay bướm hả, bướm ok nè",0
2956,2956,2957,am vãi,0
3660,3660,3661,how to play,0
5928,5928,5929,"chúng_mày mù_chữ, ghi 19h đánh kìa",2
1641,1641,1642,"cười mấy chê tuyển_thủ đồ, ta ếch đáy giếng=))",0
6662,6662,6663,phụ dame admin mày,0
7530,7530,7531,"nổ, chovy dừng farm lính",0
7207,7207,7208,rên ác,1
7976,7976,7977,cười đi cười,0
2492,2492,2493,t lạy sgp,0
3,3,4,cá_rô_phi ghê vãi cả lồn,1
7406,7406,7407,ka thớt ôi... khúc cầu_hồn đấy,0
5004,5004,5005,"bá điền 1 bầu_trời, sáng_tạo kỹ_năng bình_luận trở_nên mạnh_mẽ bệnh_tật táo_bón bình_luận ỉa trôi vãi cả lồn, mãi yêu_anh",2
7285,7285,7286,hồi dame mê đam_mê hồi,0
3605,3605,3606,hạnh_phúc đơn_giản 1 sở_thích:)),0
2478,2478,2479,skud ulti kia đỡ nổi,0
6853,6853,6854,khiếp bớt toxic,0
1782,1782,1783,fish đánh ngáo,2
5633,5633,5634,1 tác_dụng,0
2004,2004,2005,jzairia mea,0
6680,6680,6681,,0
6415,6415,6416,thua 2,0
4046,4046,4047,ngài stone gaze thế_giới vãi lồn =)),1
5581,5581,5582,đánh huyết kiếm chi,0
1528,1528,1529,bé đần adc lũ chớp học,2
1069,1069,1070,anh em tư_tưởng 2 map,0
7973,7973,7974,bảo sợ kẻ_thù sợ đồng_đội ngu,2
1408,1408,1409,bình pick ryo trận nổi,0
5895,5895,5896,đi đi,0
7183,7183,7184,out trình liền,0
1792,1792,1793,fl mấy,0
2332,2332,2333,non,0
6671,6671,6672,lui,0
8006,8006,8007,yagao học dốt 0 sách,2
3125,3125,3126,camera hàng_xóm,0
6188,6188,6189,mai gam đánh g nha,0
4469,4469,4470,thằng bm sai,0
940,940,941,like video dùm dế nha!!,0
4103,4103,4104,ngài ta đuổi con mẹ nó rồi:)),2
4315,4315,4316,hồi máu,0
7920,7920,7921,mấy game tuỳ_tâm lí bt,0
5211,5211,5212,trời oi,0
7762,7762,7763,xong game:)),0
5288,5288,5289,mẹ j4 tao đánh,2
7970,7970,7971,báo vãi lồn:))),1
603,603,604,thành na eu hm,0
7884,7884,7885,remake chung_kết,0
6008,6008,6009,vi,0
2375,2375,2376,pick zip backdoor đê,0
2483,2483,2484,sống dơ nha sv,2
4853,4853,4854,dbr,1
4363,4363,4364,skill omni uther,0
6451,6451,6452,khống_chế,0
664,664,665,game game hả anh em,0
5095,5095,5096,mày ashe,0
857,857,858,gầy time =)))),0
2672,2672,2673,vãi flo múa lỗi? ma sốc dame chết,1
7966,7966,7967,tham sưh,0
3951,3951,3952,navi,0
5295,5295,5296,tao bầu mày con_mẹ mày nhầm cứt ah`` leshin,2
2583,2583,2584,tiễn biker đài_bắc trung_thu viet nam,0
5640,5640,5641,admin bắn đéo dame,2
842,842,843,nvm:)))),0
7228,7228,7229,đánh rank vàng căng_thẳng,0
5924,5924,5925,ping cặc đẩy lính chậm vãi lồn,1
4952,4952,4953,bọn se lạc_quan,0
760,760,761,khen round:)),0
5775,5775,5776,thằng đàn_bà,1
1515,1515,1516,th,0
308,308,309,coi híu bắn màn_hình:))))))))),2
2123,2123,2124,mẹ t lạy tụi bây,1
2227,2227,2228,nhánh thua hả mọi người,0
327,327,328,vua gay duoc 1 round cai bi va vo mat luon,0
2393,2393,2394,quý báo típ đi,0
6836,6836,6837,g mẹ đi,1
2463,2463,2464,mùa giải hq giải_tán,0
7552,7552,7553,tanker 2023 xanh,0
4420,4420,4421,tẩm quát kiên_lương,0
662,662,663,hack,0
2338,2338,2339,lắm bọn ng` thái tiếng việt,2
8010,8010,8011,"hoàng luân, an kết_hợp bình_luận đức làm_ơn!!!!!!!!!!",0
5338,5338,5339,thic,0
769,769,770,liền,0
3254,3254,3255,vy nghi đấm_mồm,0
4578,4578,4579,tp vãi cả lồn...,1
1063,1063,1064,đờ đi đi,0
4633,4633,4634,ulti xong rubick cướp,0
1831,1831,1832,fnc derke kiểu 50% sức_mạnh,0
2639,2639,2640,trông ly ly ghê,2
6152,6152,6153,mày,0
3316,3316,3317,kenys bắn jack,0
2858,2858,2859,2 core hiếp_dâm 1 sup. tội ngài,1
6236,6236,6237,tao,0
3987,3987,3988,ngài bao h farm,0
5116,5116,5117,pha kéo sp vô,0
2735,2735,2736,vua gay duoc 1 round cai bi va vo mat luon,0
4189,4189,4190,pepsi? not fan,0
1378,1378,1379,báo thủ jiro trưởng_thành,0
3945,3945,3946,nahc con cặc town,1
840,840,841,see,0
1742,1742,1743,ea_như_thế,0
7998,7998,7999,ẩu vãi lồn mắt vô bãi sói,1
6950,6950,6951,căng,0
7304,7304,7305,"dk đi msi đánh thú_vị, th già thời boi 1 champ nautilus cầm mỏ_neo đi vuốt râu bẩn mắt 😏",2
6433,6433,6434,camp sủa ác thịt,1
1960,1960,1961,hq giao_tranh kém fl...,0
4151,4151,4152,nyx tham damge =)))),0
2834,2834,2835,10h boman conbonhi96 cast nhá =)),0
6516,6516,6517,bá điền im đi bl lồn,2
5656,5656,5657,tris mid tele,0
2798,2798,2799,"""ngại lắm"" - quote that changed the world",0
3552,3552,3553,get chym,0
1930,1930,1931,hev ngu,2
7886,7886,7887,game out trình game nhạt,0
4708,4708,4709,vãi lồn thg cypher vãi cả lồn,1
5253,5253,5254,châu hồ mồ vôi,0
5634,5634,5635,sủa,1
6085,6085,6086,,0
329,329,330,chiến_thuật bầy đàn:),0
3586,3586,3587,"gọi xe cấp_cứu, chở đi đi",0
3219,3219,3220,cái lồn má speed up đời nx,1
5531,5531,5532,đứng cover tao,0
2603,2603,2604,toàn mấy th bắn bot,0
7523,7523,7524,yado kinh,0
7847,7847,7848,"tự_hào, ngạo_nghễ gundam bố giải cỏ, tg cook",0
3746,3746,3747,lạ lồn,1
1571,1571,1572,cố bình,0
3840,3840,3841,mai ngài off stream boot camp,0
6002,6002,6003,lồn op ngu vãi lồn,2
6131,6131,6132,mày admin admin,0
4639,4639,4640,utube chậm 5p 360,0
1151,1151,1152,map 1 căng vãi lồn,1
2865,2865,2866,2 thằng tranh mid:)),0
7760,7760,7761,tí giết levi win,0
4440,4440,4441,team kia ngài vua mát thả free farm late game mát free,0
4412,4412,4413,tách đồ...,0
7277,7277,7278,30 xác,0
1750,1750,1751,èo èo đéo,0
3084,3084,3085,body?,0
1477,1477,1478,c4 solo mp40 nero. c4 win. súng bt. dòng tiểu_liên dám out trình lun,0
6,6,7,ngợp vãi lồn,1
587,587,588,việt nam toàn chuộng game,0
7186,7186,7187,dai đỉa =))),1
1248,1248,1249,5h chiều đánh chung_kết,0
2818,2818,2819,1 kiểu giao_lưu chung_kết line up ngẫu_nhiên,0
5006,5006,5007,hàn thải,0
2298,2298,2299,mặt,0
7551,7551,7552,gam thua nhuc xong loi se vao:)),0
2246,2246,2247,1 đàn thằng dịch dịch. bỏ_qua:)),0
3323,3323,3324,cuop,0
1466,1466,1467,bùn ngủ vải,0
5074,5074,5075,rủa đi vận,0
1820,1820,1821,flo kinh vãi cặc,1
7161,7161,7162,chiến,0
6881,6881,6882,đeo khẩu_trang hả_anh,0
1879,1879,1880,góc đẹp,0
2400,2400,2401,thế_giới fl hq đi,0
3096,3096,3097,bữa thằng krish ấn bảo,0
725,725,726,4-5,0
2669,2669,2670,sgp,0
4091,4091,4092,nhầm game,0
2920,2920,2921,admin damage,0
2263,2263,2264,nghỉ,0
1989,1989,1990,indo thái lỏng,0
3083,3083,3084,body nhấn,0
7164,7164,7165,tưởng =))),0
6978,6978,6979,đồ long đao,0
1769,1769,1770,fan bồn lình ẳng t,2
2129,2129,2130,macky đánh out trình,0
7321,7321,7322,nhện nhịp_độ nashor tệ,0
5443,5443,5444,đánh,0
5689,5689,5690,mắt_mũi chán,1
378,378,379,fnatoac retake kiểu suốt,0
565,565,566,đầu_tư khấm_khá,0
3862,3862,3863,mát xong bắn 2 chết awesome,0
6486,6486,6487,chó anie,2
4682,4682,4683,đích ngôi_sao hi_vọng đi tăng_tốc,0
6399,6399,6400,aguero?,0
3925,3925,3926,mồm get out bấm w,0
2925,2925,2926,adu ngài pick,1
1288,1288,1289,đấy,0
3906,3906,3907,mimosa hả?,0
7470,7470,7471,"chim hông yên, quín mặt dậy bình tỉnh.",0
5663,5663,5664,vãi lồn cắm đấy,1
579,579,580,mấy game kiếm tiền nói_gì,0
15,15,16,"hôm bữa m3c cháy, đen vãi lồn",1
3196,3196,3197,kiểu:))),0
281,281,282,đọc gay,2
6525,6525,6526,dí thằng admin,0
4299,4299,4300,co ti mana vay,0
8008,8008,8009,thay dùm blv đi mà-coi tiếng xìu liền,0
155,155,156,pha game vãi lồn,1
7929,7929,7930,admin farm tiền thưởng,0
4234,4234,4235,quick cast bấm alt b awesome,0
3423,3423,3424,đội_hình g2 cũ:)),0
6263,6263,6264,,0
2974,2974,2975,2 sp tưởng,0
5696,5696,5697,nguyên cánh,0
2282,2282,2283,nhạc,0
7418,7418,7419,lam tran nunu di,0
5036,5036,5037,mấy bố xàm,0
2229,2229,2230,team đánh anh em,0
6927,6927,6928,gung gung,0
7804,7804,7805,lowkey???,0
1059,1059,1060,bán_độ,0
5257,5257,5258,đánh cặc,1
2868,2868,2869,2 xoài awesome,0
2249,2249,2250,ngắm,0
4036,4036,4037,ngài nuôi bat man tí đấm_mồm bọn kia đẹp,2
6460,6460,6461,nụ cười tắt,0
2443,2443,2444,game dead,0
2793,2793,2794,?? vãi lồn flick kìa,1
5196,5196,5197,blue,0
7710,7710,7711,"mấy t2 văn đổ thừa, đèn chói, chuột đơ bàn_phím liệt nút. luân đôn lệch múi_giờ ngủ =)))))))))",0
5422,5422,5423,súc vay,1
3368,3368,3369,đạo nhạc phan quỳnh,0
6318,6318,6319,quên,0
2526,2526,2527,tem 46 tem 5 - _ -,0
408,408,409,fpx đi thay 3 kẹt visa nát giải eu yếu,0
973,973,974,đêm... nhức_nhối nỗi_niềm khôn tảtiếng côn_trùng réo_rắt quyện tiếng mưakhép tủi_hờn uất hậncuộc sống bất_công vưài định_nghĩa thế_gian muôn mặt,0
4777,4777,4778,yên_tâm đi 5 người yêu cũ g2 tấu hài trở,0
2213,2213,2214,mong top 9 bxh,0
4259,4259,4260,chừng đích,0
2861,2861,2862,2 mid: aweosme:,0
7307,7307,7308,mày game đấy,0
738,738,739,1 giải,0
5370,5370,5371,fma_hoà,0
5826,5826,5827,địt_mẹ mấy thằng vàng rách,2
1414,1414,1415,bịp đập trụ,0
4960,4960,4961,geng vô hang mẹ hả?,1
6480,6480,6481,mày ngu,2
444,444,445,fpx kp tàu,0
4184,4184,4185,p90 =)),0
1275,1275,1276,"anh em fan bồn lình điểm_danh, t 1",2
7938,7938,7939,báo,0
6001,6001,6002,đần thối,1
7385,7385,7386,taem toàn quái_vật.. xanh,0
4090,4090,4091,nhạc,0
6587,6587,6588,thua đấy,0
4180,4180,4181,ong_vàng thắng dupreh thành thằng ôm mây,0
2644,2644,2645,tứ bắn điện thoại ok nha chứng_minh,0
1195,1195,1196,chuc mung bam,0
5107,5107,5108,địt con_mẹ đánh blue máu,1
7686,7686,7687,gen vòng bảng gáy đội,0
7394,7394,7395,??? bắt admin thua.? atroc khoẻ kyen khoẻ,0
6703,6703,6704,tao,0
5062,5062,5063,che,0
4455,4455,4456,team 458,0
7701,7701,7702,peyz bố guma ngợp vãi cả lồn,1
6529,6529,6530,bá điền bl vấp,2
4892,4892,4893,,0
1226,1226,1227,2 đội giao_tranh,0
5450,5450,5451,bảo mày bu```` cu xong,2
877,877,878,nhàa,0
1131,1131,1132,entry tù vãi lồn =)),2
1847,1847,1848,gà_gà đánh,0
5488,5488,5489,im,0
4561,4561,4562,tội kotl vãi lồn awesome,1
3114,3114,3115,anh_em?,0
5977,5977,5978,vãi lồn,1
4390,4390,4391,sp5 15p gậy xanh. dink kout,0
3167,3167,3168,chê 500k win game,0
2655,2655,2656,khung chat toàn thái tiếng việt ha,0
2259,2259,2260,"gấu, kêu nhảy đại",0
6073,6073,6074,hụt,0
5717,5717,5718,admin ngáo,2
6260,6260,6261,chio,0
6317,6317,6318,fl đi,0
2675,2675,2676,vải chuong,1
7507,7507,7508,ước,0
4285,4285,4286,s1mple =))))),0
4936,4936,4937,mc wubi,0
7916,7916,7917,bao cát:))),0
1235,1235,1236,3 đánh 5 tè le,0
4956,4956,4957,"tốp lắc bụng, sp lắc đít dô liền.",0
4620,4620,4621,cơm kìa ngài awesome,0
3021,3021,3022,bắn saun lưng:))),0
6045,6045,6046,cjhet xong ping,0
1013,1013,1014,tuệ semi bắn vct =))),0
2320,2320,2321,vã seagames:)),0
2562,2562,2563,:)),0
2031,2031,2032,kĩ_năng khô máu wag đi,0
2092,2092,2093,bắn dị lu video gui tao hộ,0
952,952,953,m xạo,0
3078,3078,3079,bố s1mple try hard,0
2121,2121,2122,mẹ cứu buff fw,1
2383,2383,2384,ki. năng cai,0
7783,7783,7784,duma sợ thả wukong trời,0
6113,6113,6114,mày 9 1 tao giết,2
5853,5853,5854,thằng rừng ping lắm,0
4734,4734,4735,vui,0
8071,8071,8072,cút ch anh em,0
1668,1668,1669,koi,0
4041,4041,4042,ngài road to rank 1 hả anh em,0
7167,7167,7168,đua máy_cày:)),0
2884,2884,2885,3 mui ten,0
2306,2306,2307,nhục,0
762,762,763,fulbuy ',0
3395,3395,3396,dh don 't pick me ls: d,0
3861,3861,3862,mát awesome,0
7677,7677,7678,ces lạc_quan:)),0
3380,3380,3381,dảo vần,0
5344,5344,5345,dìm vãi,1
5213,5213,5214,toàn feed chủ_lực jdg đánh con cặc,1
5072,5072,5073,bố,0
7561,7561,7562,nhờn,0
4366,4366,4367,slark dame?,0
6765,6765,6766,thủ đi,0
1803,1803,1804,fl shin anh em,0
4203,4203,4204,pick nô_lệ đi,0
5482,5482,5483,vợ lồn,1
65,65,66,đần ác,1
4903,4903,4904,"trận 1 nocturne chán vãi cặc, đánh maokai đầu ngon",1
2032,2032,2033,kĩ_năng,0
5809,5809,5810,giết,0
2363,2363,2364,pe chen đi,0
6160,6160,6161,vãi cặc đéo chat all,1
3967,3967,3968,ngài ban vy vy kênh ngài v?,0
1237,1237,1238,3 game 0kil,0
3384,3384,3385,đọc comment lò_xo ta,0
5249,5249,5250,đi roam vứt,0
1699,1699,1700,định_mệnh tình_yêu - chang kimese,0
7131,7131,7132,chuẩn,0
1192,1192,1193,vãi lồn hôm nay onlan,1
2677,2677,2678,vai tóc ngầu,1
4408,4408,4409,swap né q cm awesome,0
6461,6461,6462,team mày,0
2377,2377,2378,pika qi,0
2648,2648,2649,tùng thể_lực,0
3300,3300,3301,crown cheat nhi?,0
425,425,426,stand in 2 dám kayo,0
1564,1564,1565,gái tây,0
2849,2849,2850,18 100??,0
5740,5740,5741,thằng mid fl,0
5838,5838,5839,"sorry anh_em: v tui mountain núi tui nà hills tui kiểu ẩn_dụ tí, anh_em căng, vui_vẻ!",0
1703,1703,1704,dnp chủ_yếu call team,0
7792,7792,7793,thôi_thì mùa...,0
2983,2983,2984,flyfly đấm_mồm ngài awesome,0
599,599,600,nhắc mấy nhột cãi mệt,0
7606,7606,7607,bọn spam dume bl nuốt nổi,2
6574,6574,6575,chovy mập,2
7810,7810,7811,"nhã 2 ván, câu view gam ảo_tưởng. é é é",0
6281,6281,6282,chó ngu mid ping hộ bố mày,2
3281,3281,3282,cm s úp cay vãi lồn =)),1
475,475,476,fntoac,0
5301,5301,5302,mày chat cấu máu,0
3522,3522,3523,g2 bắn. lineup jackz kenys đồ awesome,0
7820,7820,7821,tẩy tp kìa: d,0
1035,1035,1036,hi_vọng cặp bắn 3 map,0
3397,3397,3398,đi cớm kìa ngài,0
3147,3147,3148,cất tủ giùm awesome,0
1867,1867,1868,giải đầu_tư,0
2527,2527,2528,khu dân_cư trường_học,0
4994,4994,4995,khả_năng nguyện leo rank giúp đồng_đội nản lắm,0
6122,6122,6123,an_toàn tí rừng,0
4270,4270,4271,rpk?,0
351,351,352,mạnh_dạn đoán 13-5 nip,0
690,690,691,vandal đạn,0
5423,5423,5424,sút vật,1
6788,6788,6789,thất_vọng áo trắng,0
4638,4638,4639,update wl @ quocthaiak,0
5505,5505,5506,,0
838,838,839,chất,0
2960,2960,2961,"am đóng santa ac, xong",0
6992,6992,6993,hòm key dư kia xong,0
6148,6148,6149,top swap bro,0
1096,1096,1097,vas oi chi bao noi nhieu,0
73,73,74,cái lồn má pr,1
6659,6659,6660,tao ap,0
627,627,628,coi giải: v,0
938,938,939,màu xám khói đi lộk,0
1923,1923,1924,hết_hồn lai bâng,0
4683,4683,4684,vé tiền anh_em cẩu_thả?,0
6288,6288,6289,msi việt_nam 1 slot hả anh em,0
525,525,526,! caster,0
2605,2605,2606,toàn trẻ trâu bắn mấy bé,2
2272,2272,2273,ngu thoai mọi người =)),0
6117,6117,6118,mid đấy,0
2905,2905,2906,5 khẩu gay gunb cay vãi cả lồn:))),1
3165,3165,3166,cháy,0
166,166,167,vãi lồn chim,1
921,921,922,m khoe,0
7136,7136,7137,trận chẳng hiểu sao skin đi,0
1033,1033,1034,@ nana ego mãi cháy,0
1318,1318,1319,ari,0
4749,4749,4750,world of tank,0
2162,2162,2163,mấy h đánh chung_kết mg,0
6170,6170,6171,thua,0
3816,3816,3817,lùa +1 agi,0
2116,2116,2117,m500 lạ,0
5698,5698,5699,,0
4421,4421,4422,tăng_tốc chạy farm.,0
2493,2493,2494,t đồ,2
4844,4844,4845,bớt xàm lồn đi,1
5625,5625,5626,tao sợ mày lắm,0
2697,2697,2698,váy ly đẹp,0
4759,4759,4760,"xbet lương bro, đấy 3k usd",0
5553,5553,5554,múa kìa,0
23,23,24,"vinhcs chán vãi lồn, lck lpl chuyên_môn, văn tùng phân_tích sâu =))",2
4584,4584,4585,trắng,0
5769,5769,5770,đánh dốt,1
363,363,364,derke anh em,0
6232,6232,6233,zac,0
472,472,473,@ kd nt hôm,0
7442,7442,7443,ez tam_hợp h yếu,1
733,733,734,slot,0
4999,4999,5000,mấy tg se lạc_quan mấy tg chân đèn,0
1570,1570,1571,cố bé yêu,0
7088,7088,7089,cháy,0
8046,8046,8047,kindred phế,0
4573,4573,4574,tp ngu vãi con cặc,2
1475,1475,1476,c4 bắn king of solo thua nero,0
6766,6766,6767,spam ác,0
4237,4237,4238,bắn mấy ngáo:)),1
3356,3356,3357,danh nua ma co gang lam gi,0
4247,4247,4248,rap siếc fap,0
8053,8053,8054,oner mấy bữa đánh tập đi,0
2995,2995,2996,astralis vô địck 🥲,0
6408,6408,6409,hansama levi vui,0
5238,5238,5239,terasm,0
3038,3038,3039,bật ulti địt mẹ m awesome,2
6557,6557,6558,cover rừng chạy,0
5609,5609,5610,bảo né cặc,1
2781,2781,2782,zuka tốc bắt yue,0
3577,3577,3578,"giun vàng bắn liệt 3 map: de _ cave, de _ airport de _ home",0
4594,4594,4595,trông simp1e mượt =)),0
6891,6891,6892,,0
3212,3212,3213,chúng_mày kỳ_vọng 1 mds by 458,0
7464,7464,7465,gori,0
1921,1921,1922,,0
2815,2815,2816,1 chó = 4 awesome,2
109,109,110,cái lồn má idol trốn mấy hả,1
7386,7386,7387,"farm khởi_đầu q, farm đi bãi quái 3s bật, đánh 2 phát q 4 phát, tổng_cộng bãi quái 3 phát, clear",0
